Id,Source,Target,Weight,Type
1,5,2,1,Undirected
2,5,1,1,Undirected
3,5,3,1,Undirected
4,6,2,1,Undirected
5,7,1,1,Undirected
6,8,2,1,Undirected
7,9,4,2,Undirected
8,10,4,1,Undirected
9,11,1,1,Undirected
10,12,1,1,Undirected
11,13,1,1,Undirected
12,14,1,1,Undirected
13,15,4,2,Undirected
14,16,2,1,Undirected
15,17,2,1,Undirected
16,18,2,1,Undirected
17,19,2,2,Undirected
18,20,2,5,Undirected
19,21,3,1,Undirected
20,22,2,1,Undirected
21,23,2,1,Undirected
22,24,1,4,Undirected
23,24,4,2,Undirected
24,25,2,5,Undirected
25,26,2,1,Undirected
26,27,2,1,Undirected
27,28,2,1,Undirected
28,29,2,1,Undirected
29,30,2,1,Undirected
30,31,2,1,Undirected
31,32,2,1,Undirected
32,33,1,2,Undirected
33,34,2,2,Undirected
34,34,4,1,Undirected
35,35,1,1,Undirected
36,35,2,1,Undirected
37,36,1,1,Undirected
38,37,1,1,Undirected
39,38,4,1,Undirected
40,39,2,6,Undirected
41,40,2,1,Undirected
42,41,2,1,Undirected
43,42,2,1,Undirected
44,43,2,1,Undirected
45,44,3,1,Undirected
46,45,2,1,Undirected
47,46,4,1,Undirected
48,47,2,1,Undirected
49,48,2,1,Undirected
50,49,2,1,Undirected
51,50,2,1,Undirected
52,51,4,1,Undirected
53,52,3,2,Undirected
54,52,2,1,Undirected
55,53,2,2,Undirected
56,54,2,1,Undirected
57,55,2,2,Undirected
58,56,2,1,Undirected
59,57,1,2,Undirected
60,57,4,2,Undirected
61,57,3,1,Undirected
62,58,2,1,Undirected
63,59,2,4,Undirected
64,59,3,1,Undirected
65,60,2,5,Undirected
66,60,3,1,Undirected
67,60,4,2,Undirected
68,61,4,1,Undirected
69,62,3,1,Undirected
70,63,2,1,Undirected
71,64,2,1,Undirected
72,65,2,1,Undirected
73,66,2,1,Undirected
74,67,1,1,Undirected
75,68,3,1,Undirected
76,69,2,2,Undirected
77,70,1,1,Undirected
78,71,4,1,Undirected
79,72,3,2,Undirected
80,72,4,1,Undirected
81,72,2,1,Undirected
82,73,2,3,Undirected
83,74,3,1,Undirected
84,75,1,1,Undirected
85,76,2,1,Undirected
86,77,1,1,Undirected
87,78,1,1,Undirected
88,79,3,2,Undirected
89,79,4,2,Undirected
90,80,3,1,Undirected
91,81,1,2,Undirected
92,82,2,4,Undirected
93,82,4,2,Undirected
94,83,3,1,Undirected
95,84,2,2,Undirected
96,85,3,1,Undirected
97,86,2,2,Undirected
98,87,2,4,Undirected
99,88,2,1,Undirected
100,89,1,3,Undirected
101,89,4,1,Undirected
102,90,1,4,Undirected
103,90,2,3,Undirected
104,91,4,1,Undirected
105,92,2,2,Undirected
106,92,4,1,Undirected
107,93,1,2,Undirected
108,93,2,1,Undirected
109,94,3,2,Undirected
110,95,2,1,Undirected
111,96,2,1,Undirected
112,97,2,1,Undirected
113,98,1,1,Undirected
114,99,4,1,Undirected
115,100,2,1,Undirected
116,101,1,1,Undirected
117,102,2,1,Undirected
118,102,4,1,Undirected
119,103,1,1,Undirected
120,103,4,1,Undirected
121,104,2,2,Undirected
122,105,3,1,Undirected
123,105,1,1,Undirected
124,106,2,1,Undirected
125,107,4,1,Undirected
126,108,4,1,Undirected
127,109,2,2,Undirected
128,110,3,1,Undirected
129,110,2,2,Undirected
130,110,4,1,Undirected
131,111,1,2,Undirected
132,112,2,1,Undirected
133,113,3,1,Undirected
134,114,2,1,Undirected
135,115,1,2,Undirected
136,116,2,1,Undirected
137,117,1,1,Undirected
138,118,2,1,Undirected
139,119,2,2,Undirected
140,119,1,3,Undirected
141,120,1,1,Undirected
142,121,4,1,Undirected
143,122,2,1,Undirected
144,123,1,1,Undirected
145,124,2,3,Undirected
146,124,1,1,Undirected
147,125,1,1,Undirected
148,126,2,1,Undirected
149,127,1,1,Undirected
150,128,2,1,Undirected
151,129,2,4,Undirected
152,129,4,2,Undirected
153,129,1,1,Undirected
154,130,2,1,Undirected
155,131,1,1,Undirected
156,132,2,1,Undirected
157,133,4,2,Undirected
158,134,1,1,Undirected
159,135,1,1,Undirected
160,136,1,1,Undirected
161,137,2,1,Undirected
162,138,2,1,Undirected
163,139,2,1,Undirected
164,140,2,1,Undirected
165,141,1,1,Undirected
166,142,1,1,Undirected
167,142,3,1,Undirected
168,142,2,1,Undirected
169,143,3,1,Undirected
170,144,1,2,Undirected
171,144,2,1,Undirected
172,144,4,1,Undirected
173,145,1,1,Undirected
174,146,1,1,Undirected
175,147,2,1,Undirected
176,148,2,1,Undirected
177,149,2,8,Undirected
178,150,4,1,Undirected
179,151,2,5,Undirected
180,152,1,1,Undirected
181,153,1,1,Undirected
182,154,2,1,Undirected
183,154,1,2,Undirected
184,154,4,1,Undirected
185,155,2,1,Undirected
186,156,2,1,Undirected
187,157,1,1,Undirected
188,157,2,1,Undirected
189,158,3,1,Undirected
190,159,3,1,Undirected
191,159,2,1,Undirected
192,160,2,1,Undirected
193,161,2,2,Undirected
194,162,1,2,Undirected
195,162,3,1,Undirected
196,162,4,5,Undirected
197,163,3,1,Undirected
198,164,2,1,Undirected
199,165,2,1,Undirected
200,166,2,3,Undirected
201,167,2,2,Undirected
202,168,1,1,Undirected
203,169,2,3,Undirected
204,170,2,3,Undirected
205,171,1,1,Undirected
206,171,2,1,Undirected
207,172,1,1,Undirected
208,173,4,1,Undirected
209,174,2,1,Undirected
210,175,4,1,Undirected
211,176,1,1,Undirected
212,177,2,1,Undirected
213,178,2,2,Undirected
214,178,1,3,Undirected
215,179,2,1,Undirected
216,180,4,1,Undirected
217,181,1,1,Undirected
218,182,2,2,Undirected
219,183,1,1,Undirected
220,184,4,1,Undirected
221,185,2,1,Undirected
222,186,2,2,Undirected
223,187,2,1,Undirected
224,188,3,1,Undirected
225,189,2,1,Undirected
226,190,2,1,Undirected
227,191,2,2,Undirected
228,192,2,8,Undirected
229,193,2,1,Undirected
230,194,4,1,Undirected
231,195,2,8,Undirected
232,195,3,1,Undirected
233,196,2,1,Undirected
234,197,2,1,Undirected
235,198,4,1,Undirected
236,199,2,2,Undirected
237,200,2,1,Undirected
238,201,1,1,Undirected
239,201,4,1,Undirected
240,202,1,1,Undirected
241,202,4,1,Undirected
242,203,1,1,Undirected
243,204,1,1,Undirected
244,204,3,2,Undirected
245,204,4,1,Undirected
246,204,2,1,Undirected
247,205,1,1,Undirected
248,206,2,1,Undirected
249,207,2,1,Undirected
250,208,1,1,Undirected
251,209,2,1,Undirected
252,210,1,1,Undirected
253,211,2,1,Undirected
254,212,2,3,Undirected
255,213,1,1,Undirected
256,214,1,1,Undirected
257,215,4,1,Undirected
258,216,4,1,Undirected
259,217,1,1,Undirected
260,218,4,1,Undirected
261,219,2,1,Undirected
262,220,1,1,Undirected
263,220,2,2,Undirected
264,221,2,1,Undirected
265,222,2,1,Undirected
266,223,3,1,Undirected
267,224,2,1,Undirected
268,225,4,1,Undirected
269,226,2,3,Undirected
270,227,4,1,Undirected
271,228,1,1,Undirected
272,228,2,1,Undirected
273,229,1,1,Undirected
274,230,2,2,Undirected
275,231,2,2,Undirected
276,232,2,6,Undirected
277,232,1,2,Undirected
278,232,4,1,Undirected
279,233,1,1,Undirected
280,234,1,1,Undirected
281,235,4,1,Undirected
282,236,1,1,Undirected
283,237,2,1,Undirected
284,238,1,5,Undirected
285,238,2,1,Undirected
286,238,4,1,Undirected
287,239,2,1,Undirected
288,240,2,1,Undirected
289,241,2,2,Undirected
290,242,1,1,Undirected
291,243,2,1,Undirected
292,244,1,1,Undirected
293,245,3,1,Undirected
294,246,2,1,Undirected
295,247,2,2,Undirected
296,248,2,7,Undirected
297,248,1,1,Undirected
298,249,1,1,Undirected
299,250,2,1,Undirected
